##数据格式为:
##数据位置
##震相,相对时间（秒）,置信度,绝对时间（格式%Y-%m-%d %H:%M:%S.%f）,信噪比,前后200个采样点振幅均值,台站,初动,初动概率
#/Users/yuziye/Documents/GitHub/sage/pnsn/data/0521-0522foryangbi/YN.YSW03.00
Pg,151263.080,0.645,2021-05-22 18:01:03.085000,73.108,5435.769872,YN.YSW03.00,N,0.000
Pg,47242.000,0.645,2021-05-21 13:07:22.005000,3.021,96.970486,YN.YSW03.00,N,0.000
Pg,107551.510,0.645,2021-05-22 05:52:31.515000,3.149,130.997586,YN.YSW03.00,N,0.000
Pg,94602.580,0.643,2021-05-22 02:16:42.585000,21.147,898.593039,YN.YSW03.00,N,0.000
Pg,90477.260,0.642,2021-05-22 01:07:57.265000,2.951,123.037766,YN.YSW03.00,N,0.000
Pg,134638.090,0.639,2021-05-22 13:23:58.095000,44.973,714.803751,YN.YSW03.00,N,0.000
Pg,115491.020,0.639,2021-05-22 08:04:51.025000,4.155,210.971250,YN.YSW03.00,N,0.000
Pg,61628.550,0.639,2021-05-21 17:07:08.555000,4.308,287.841509,YN.YSW03.00,N,0.000
Pg,156275.560,0.639,2021-05-22 19:24:35.565000,3.899,50.248262,YN.YSW03.00,N,0.000
Pg,126963.450,0.636,2021-05-22 11:16:03.455000,3.861,223.073000,YN.YSW03.00,N,0.000
Pg,92091.040,0.636,2021-05-22 01:34:51.045000,8.220,433.634988,YN.YSW03.00,N,0.000
Pg,38334.440,0.634,2021-05-21 10:38:54.445000,5.173,155.840600,YN.YSW03.00,N,0.000
Pg,60623.670,0.631,2021-05-21 16:50:23.675000,5.509,235.353728,YN.YSW03.00,N,0.000
Pg,130001.960,0.630,2021-05-22 12:06:41.965000,6.321,216.245529,YN.YSW03.00,N,0.000
Pg,116115.380,0.629,2021-05-22 08:15:15.385000,4.271,153.269921,YN.YSW03.00,N,0.000
Pg,158500.420,0.629,2021-05-22 20:01:40.425000,4.814,117.806268,YN.YSW03.00,N,0.000
Pg,111866.620,0.628,2021-05-22 07:04:26.625000,4.817,207.217036,YN.YSW03.00,N,0.000
Pg,142432.900,0.627,2021-05-22 15:33:52.905000,39.679,2621.481119,YN.YSW03.00,N,0.000
Pg,98504.720,0.627,2021-05-22 03:21:44.725000,22.605,1273.907099,YN.YSW03.00,N,0.000
Pg,146867.310,0.627,2021-05-22 16:47:47.315000,32.689,906.169016,YN.YSW03.00,N,0.000
Pg,108056.540,0.627,2021-05-22 06:00:56.545000,2.873,175.516446,YN.YSW03.00,N,0.000
Pg,29844.340,0.626,2021-05-21 08:17:24.345000,1.879,129.662990,YN.YSW03.00,N,0.000
